iter	Logloss	Accuracy
801	0.003163700998	1
802	0.003162481785	1
803	0.00316231668	1
804	0.003152450323	1
805	0.003149315715	1
806	0.003148749769	1
807	0.003094983399	1
808	0.003094785213	1
809	0.003094718456	1
810	0.003094646633	1
811	0.003094559908	1
812	0.003093982935	1
813	0.003089978993	1
814	0.003089317381	1
815	0.00308914721	1
816	0.003088935018	1
817	0.003088912666	1
818	0.003084225655	1
819	0.00308213532	1
820	0.00308169663	1
821	0.003080207109	1
822	0.003080056906	1
823	0.00308000654	1
824	0.003079963326	1
825	0.003079551458	1
826	0.003079486191	1
827	0.003079478145	1
828	0.003079453111	1
829	0.003079425097	1
830	0.003079382777	1
831	0.003079330921	1
832	0.003079306483	1
833	0.003079213202	1
834	0.003040818274	1
835	0.00294126004	1
836	0.002938839495	1
837	0.002900938392	1
838	0.002900464535	1
839	0.002898853421	1
840	0.002881742716	1
841	0.002874047458	1
842	0.002873743773	1
843	0.002872143984	1
844	0.00286555022	1
845	0.002865397632	1
846	0.002857257724	1
847	0.002850493193	1
848	0.002847984433	1
849	0.002843860388	1
850	0.002834733129	1
851	0.002834354341	1
852	0.002834313512	1
853	0.002834296227	1
854	0.002834268808	1
855	0.002833150923	1
856	0.002832601368	1
857	0.002831391096	1
858	0.002830559909	1
859	0.002830530405	1
860	0.002830294371	1
861	0.002827304304	1
862	0.00282561183	1
863	0.002825169861	1
864	0.002824778855	1
865	0.002824614346	1
866	0.002823716998	1
867	0.00282325387	1
868	0.002821705341	1
869	0.00282081902	1
870	0.002816206515	1
871	0.002816117406	1
872	0.002815999985	1
873	0.002814849019	1
874	0.002814771235	1
875	0.002814734578	1
876	0.002814664245	1
877	0.002810810506	1
878	0.002807977498	1
879	0.002790695131	1
880	0.002787030339	1
881	0.002786265612	1
882	0.002785774469	1
883	0.002785228491	1
884	0.002783535719	1
885	0.002783528268	1
886	0.00278293997	1
887	0.002782883346	1
888	0.002782654762	1
889	0.002782295048	1
890	0.00278156817	1
891	0.002763394117	1
892	0.00276322186	1
893	0.002760949433	1
894	0.002752061784	1
895	0.002751446962	1
896	0.002746550739	1
897	0.002741851807	1
898	0.002739536166	1
899	0.002739288509	1
900	0.002736763358	1
901	0.002735829353	1
902	0.002707195878	1
903	0.002705953717	1
904	0.002631878853	1
905	0.002626319826	1
906	0.002599298656	1
907	0.00259827733	1
908	0.00259785831	1
909	0.002596011162	1
910	0.002594125867	1
911	0.002592961192	1
912	0.002592863142	1
913	0.002592458725	1
914	0.002591986656	1
915	0.002588558793	1
916	0.002588359714	1
917	0.002582911849	1
918	0.002582478523	1
919	0.002580374479	1
920	0.002579571009	1
921	0.002576949894	1
922	0.002575592399	1
923	0.002575030327	1
924	0.002561874688	1
925	0.002559809089	1
926	0.002559515238	1
927	0.002552829087	1
928	0.002552491426	1
929	0.002544818819	1
930	0.002539499402	1
931	0.002501772642	1
932	0.002498619556	1
933	0.002491272539	1
934	0.00246951133	1
935	0.002469126582	1
936	0.002468769699	1
937	0.002464279383	1
938	0.002460348606	1
939	0.002457777262	1
940	0.002451702952	1
941	0.002450807989	1
942	0.00245041281	1
943	0.002445292771	1
944	0.002435997427	1
945	0.002435517013	1
946	0.00243514508	1
947	0.002434932888	1
948	0.002434704006	1
949	0.002434664071	1
950	0.002434083223	1
951	0.002433910668	1
952	0.00243356213	1
953	0.00242831856	1
954	0.002427265942	1
